Metro Jet Taxi A.,276.71432578209277
4053 - 40193 Adwar H. Nikola,33.22701149425287
Chicago Taxicab,32.198709511568126
4623 - 27290 Jay Kim,29.831658291457288
2733 - 74600 Benny Jona,29.734293193717278
Petani Cab Corp,27.79721815519766
6574 - Babylon Express Inc.,25.2972972972973
312 Medallion Management Corp,24.905431537962365
U Taxicab,24.123090891147736
3620 - 52292 David K. Cab Corp.,23.544117647058822
Star North Taxi Management Llc,23.261863570391853
5 Star Taxi,22.724059624585944
"Taxicab Insurance Agency, LLC",22.47084318252974
Top Cab,22.333934707903783
Chicago Independents,21.94721423531486
Flash Cab,21.54748422306063
Sun Taxi,21.30774371479466
Choice Taxi Association,21.278343091334897
City Service,21.187599793913385
Setare Inc,20.879109863672817
Globe Taxi,20.842227573750755
Top Cab Affiliation,20.7366882670594
Leonard Cab Co,20.649722222222223
Medallion Leasin,20.435804128196416
Taxi Affiliation Services,19.973929715705
Koam Taxi Association,19.746212871287128
Taxicab Insurance Agency Llc,19.483111969432663
KOAM Taxi Association,19.469192634560905
Blue Ribbon Taxi Association,19.267281414237896
Patriot Taxi Dba Peace Taxi Associat,17.542677419354842
24 Seven Taxi,17.185290263876233
3556 - 36214 RC Andrews Cab,17.169540229885058
Blue Ribbon Taxi Association Inc.,16.065333990980832
4787 - 56058 Reny Cab Co,12.161214953271028
5062 - 34841 Sam Mestas,11.40326530612245
Chicago Carriage Cab Corp,3.56875
Nova Taxi Affiliation Llc,3.25
